title,release_date,developer,publisher,tags,bundle,music
Ships 2017,"19 Oct, 2016",FragOut,Games Box,"Simulation,Indie,Free to Play,Adventure,Strategy,Building,Exploration,Management,Life Sim,3D,Cinematic,Realistic,Naval,Destruction,Tactical,Open World,Driving,Physics,Sailing,Singleplayer",,Buy Ships 2017
Farm Expert 2017,"1 Sep, 2016",Silden,SIG Publishing,"Simulation,Farming Sim,Indie,Automobile Sim,Singleplayer,Driving,Agriculture,Exploration,Realistic,Open World,First-Person,Economy,Farming,Family Friendly,Resource Management,Inventory Management,Physics,Great Soundtrack,Atmospheric,Management",,Buy Farm Expert 2017
Robot Squad Simulator 2017,"20 Oct, 2016",Bit Golem,Ultimate Games S.A.,"Simulation,Action,Indie",,Buy Robot Squad
Giant Machines 2017,"29 Sep, 2016",Code Horizon,Code Horizon,"Simulation,Indie,Singleplayer,Building,Realistic,Atmospheric,Action,Open World,Strategy,Casual,Family Friendly,Adventure,First-Person,Multiplayer,Great Soundtrack,Relaxing,Sandbox,Exploration",,Buy Giant Machines 2017
Forest Ranger Simulator,"19 Jun, 2024",HOT CODE COMPANY,FreeMind S.A.,"Casual,Nature,Simulation,Education,Exploration,Job Simulator,Sandbox,Building,Relaxing,Family Friendly,First-Person,3D,Life Sim,Open World,Immersive Sim,Crafting,Economy,Realistic,Singleplayer,Indie",,
Police Shootout,"1 Jun, 2022",Games Incubator,Games Incubator,"Turn-Based Combat,Villain Protagonist,Simulation,Shooter,Indie,Singleplayer,First-Person,FPS,Violent,Action,Crime,Adventure,Tactical,Action-Adventure,Turn-Based Strategy,Turn-Based Tactics,Realistic,Inventory Management,Sandbox,Mature",,
"Slice, Dice & Rice","27 Apr, 2017",Dojo Games,Ultimate Games S.A.,"Action,Fighting,2D Fighter,Gore,Violent,Local Multiplayer,Singleplayer,Indie,Atmospheric,Realistic,Anime,2D,Casual",,"Buy Slice, Dice & Rice"
Bad Dream: Coma,"9 Mar, 2017",Desert Fox,Desert Fox,"Point & Click,Adventure,Horror,Choices Matter,Multiple Endings,Indie,Gore,Hand-drawn,Psychological Horror,Atmospheric,Dark,Psychological,Surreal,Story Rich,Minimalist,Puzzle,Hidden Object,Exploration,Singleplayer,Casual",,Buy Bad Dream: Coma
Monsters Domain,"5 Apr, 2024",G-DEVS.com,G-DEVS.com,"Action,RPG,Adventure,First-Person,Crafting,Open World,Action RPG,Building,3D,Souls-like,Dungeon Crawler,Exploration,Mystery Dungeon,Roguelike,Dark Fantasy,Base Building,Survival Horror,Horror,Economy,Combat",,Buy Monsters Domain
The Way,"20 May, 2016",Puzzling Dream,PlayWay S.A.,"Adventure,Indie,Action,Pixel Graphics,Platformer,Puzzle Platformer,2D,Sci-fi,Retro,Singleplayer,Atmospheric,Side Scroller,Puzzle,Story Rich,Difficult,Family Friendly,Relaxing,Great Soundtrack",,Buy The Way
